nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Bolivia,11673021,1098581,América
Brasil,213993437,8515767,América
Canadá,38005238,9984670,América
Chile,19116209,756102,América
Colombia,50882891,1141748,América
Costa Rica,5094114,51100,América
Cuba,11326616,109884,América
Ecuador,17643054,256370,América
El Salvador,6486205,21041,América
Estados Unidos,331002651,9833517,América
Guatemala,17915568,108889,América
Honduras,9904607,112492,América
Jamaica,2961167,10991,América
México,128932753,1964375,América
Nicaragua,6624554,130373,América
Panamá,4314767,75417,América
Paraguay,7132538,406752,América
Perú,32971854,1285216,América
República Dominicana,10847910,48671,América
Uruguay,3473730,176215,América
Venezuela,28435940,916445,América
Alemania,83149300,357022,Europa
Austria,8917205,83879,Europa
Bélgica,11589623,30528,Europa
Bielorrusia,9442862,207600,Europa
Bulgaria,6927288,110879,Europa
Croacia,4047200,56594,Europa
Dinamarca,5831404,42933,Europa
Eslovaquia,5460185,49035,Europa
Eslovenia,2078938,20273,Europa
España,47351567,505992,Europa
Estonia,1326590,45339,Europa
Finlandia,5530719,338455,Europa
Francia,67081000,643801,Europa
Grecia,10423054,131957,Europa
Hungría,9660351,93030,Europa
Irlanda,4994724,70273,Europa
Islandia,366425,103000,Europa
Italia,59257566,301340,Europa
Letonia,1886198,64589,Europa
Lituania,2794700,65300,Europa
Luxemburgo,634814,2586,Europa
Malta,514564,316,Europa
Noruega,5421241,323802,Europa
Países Bajos,17134872,41543,Europa
Polonia,37950802,312696,Europa
Portugal,10295909,92090,Europa
Reino Unido,67886011,242495,Europa
República Checa,10708981,78867,Europa
Rumania,19237691,238391,Europa
Rusia,144104080,17098246,Europa
Serbia,8772235,77474,Europa
Suecia,10353442,450295,Europa
Suiza,8654622,41285,Europa
Ucrania,43733762,603628,Europa
Afganistán,38928346,652864,Asia
Arabia Saudita,34813871,2149690,Asia
Bangladesh,164689383,147570,Asia
Camboya,16718965,181035,Asia
China,1439323776,9596961,Asia
Corea del Norte,25778816,120538,Asia
Corea del Sur,51269185,100210,Asia
Emiratos Árabes Unidos,9890402,83600,Asia
Filipinas,109581078,300000,Asia
India,1380004385,3287263,Asia
Indonesia,273523615,1904569,Asia
Irak,40222503,438317,Asia
Irán,83992949,1648195,Asia
Israel,8655535,20770,Asia
Japón,125800000,377975,Asia
Jordania,10203134,89342,Asia
Kazajistán,18776707,2724900,Asia
Kuwait,4270571,17818,Asia
Laos,7275560,236800,Asia
Líbano,6825445,10452,Asia
Malasia,32365999,330803,Asia
Mongolia,3278290,1564110,Asia
Myanmar,54409800,676578,Asia
Nepal,29136808,147181,Asia
Omán,5106626,309500,Asia
Pakistán,220892340,881912,Asia
Qatar,2881053,11586,Asia
Singapur,5850342,728,Asia
Siria,17500658,185180,Asia
Sri Lanka,21413249,65610,Asia
Tailandia,69799978,513120,Asia
Taiwán,23816775,36193,Asia
Turquía,84339067,783562,Asia
Uzbekistán,33469203,447400,Asia
Vietnam,97338579,331212,Asia
Yemen,29825964,527968,Asia
Angola,32866272,1246700,África
Argelia,43851044,2381741,África
Camerún,26545863,475442,África
Egipto,102334404,1001450,África
Etiopía,114963588,1104300,África
Ghana,31072940,238533,África
Kenia,53771296,580367,África
Libia,6871292,1759540,África
Madagascar,27691018,587041,África
Marruecos,36910560,446550,África
Mozambique,31255435,801590,África
Nigeria,206139589,923768,África
República Democrática del Congo,89561403,2344858,África
Senegal,16743927,196722,África
Somalia,15893222,637657,África
Sudáfrica,59308690,1221037,África
Sudán,43849260,1861484,África
Tanzania,59734218,945087,África
Túnez,11818619,163610,África
Uganda,45741007,241038,África
Zambia,18383955,752618,África
Zimbabue,14862924,390757,África
Australia,25499884,7692024,Oceanía
Fiyi,896444,18272,Oceanía
Nueva Zelanda,4822233,270467,Oceanía
Papúa Nueva Guinea,8947024,462840,Oceanía
Samoa,198414,2842,Oceanía
Peronia,45000000,780400,America del Sur
